Line,Station,Lon,Lat
40.0,40.0,-124.6511,41.7449
40.0,50.0,-125.42,41.4115
40.0,60.0,-126.1849,41.0782
40.0,70.0,-126.9459,40.7449
40.0,80.0,-127.7031,40.4115
40.0,90.0,-128.4565,40.0782
40.0,100.0,-129.2062,39.7449
40.0,110.0,-129.9522,39.4115
40.0,120.0,-130.6947,39.0782
43.3,42.0,-124.383,41.1066
43.3,50.0,-124.9924,40.84
43.3,60.0,-125.7507,40.5066
43.3,70.0,-126.5052,40.1733
43.3,80.0,-127.2559,39.84
43.3,90.0,-128.003,39.5066
43.3,100.0,-128.7465,39.1733
43.3,110.0,-129.4864,38.84
43.3,120.0,-130.2229,38.5066
46.7,50.0,-124.5556,40.2511
46.7,60.0,-125.3072,39.917699999999996
46.7,70.0,-126.0552,39.5844
46.7,80.0,-126.7995,39.2511
46.7,90.0,-127.5402,38.917699999999996
46.7,100.0,-128.2775,38.5844
46.7,110.0,-129.0113,38.2511
46.7,120.0,-129.7417,37.917699999999996
50.0,47.0,-123.9108,39.7795
50.0,50.0,-124.1351,39.6795
50.0,60.0,-124.8805,39.3462
50.0,70.0,-125.6222,39.0128
50.0,80.0,-126.3605,38.6795
50.0,90.0,-127.0953,38.3462
50.0,100.0,-127.8267,38.0128
50.0,110.0,-128.5547,37.6795
50.0,120.0,-129.2795,37.3462
53.3,52.0,-123.8661,39.0412
53.3,60.0,-124.4572,38.7746
53.3,70.0,-125.193,38.4412
53.3,80.0,-125.9253,38.1079
53.3,90.0,-126.6543,37.7746
53.3,100.0,-127.38,37.4412
53.3,110.0,-128.1024,37.1079
53.3,120.0,-128.8217,36.7746
56.7,51.0,-123.365,38.4857
56.7,60.0,-124.0247,38.1857
56.7,70.0,-124.7544,37.8523
56.7,80.0,-125.4809,37.519
56.7,90.0,-126.2041,37.1857
56.7,100.0,-126.9241,36.8523
56.7,110.0,-127.6409,36.519
56.7,120.0,-128.3546,36.1857
60.0,53.0,-123.0994,37.8474
60.0,60.0,-123.6082,37.6141
60.0,70.0,-124.3323,37.2808
60.0,80.0,-125.0532,36.9474
60.0,90.0,-125.7709,36.6141
60.0,100.0,-126.4855,36.2808
60.0,110.0,-127.197,35.9474
60.0,120.0,-127.9055,35.6141
60.0,140.0,-129.3137,34.9474
60.0,160.0,-130.7103,34.2808
60.0,180.0,-132.0958,33.6141
63.3,52.0,-122.6178,37.3092
63.3,55.0,-122.8345,37.2092
63.3,60.0,-123.195,37.0425
63.3,70.0,-123.9136,36.7092
63.3,80.0,-124.6291,36.3759
63.3,90.0,-125.3415,36.0425
63.3,100.0,-126.0508,35.7092
63.3,110.0,-126.7572,35.3759
63.3,120.0,-127.4606,35.0425
65.3,52.7,-122.4219,36.9394
66.7,50.0,-122.0563,36.787
66.7,55.0,-122.4148,36.6203
66.7,60.0,-122.7725,36.4536
66.7,65.0,-123.1295,36.287
66.7,70.0,-123.4856,36.1203
66.7,75.0,-123.841,35.9536
66.7,80.0,-124.1957,35.787
66.7,85.0,-124.5496,35.6203
66.7,90.0,-124.9027,35.4536
66.7,95.0,-125.2552,35.287
66.7,100.0,-125.6068,35.1203
66.7,110.0,-126.3081,34.787
66.7,120.0,-127.0064,34.4536
67.1,47.7,-121.8425,36.7943
68.1,55.9,-122.3072,36.3478
70.0,51.0,-121.7259,36.1821
70.0,55.0,-122.0105,36.0487
70.0,60.0,-122.3656,35.8821
70.0,63.6,-122.6207,35.7621
70.0,66.7,-122.8402,35.6587
70.0,70.0,-123.0735,35.5487
